"Qty","Value","Part Num","Package","Parts"
"2","","*","1X02","J7, J8"
"2","","*","1X04R","J6, J9"
"2","","*","SJ_2S-NO","SJ1, SJ2"
"1","","DX: SKU134132","USB-AB-MICRO-SMD_V03_SF","J1"
"21","0.1uF","STOCK: DK 587-1227-1-ND","CAPC1005X60N","C3, C5, C6, C7, C9, C11, C16, C24, C31, C34, C35, C36, C38, C39, C42, C43, C44, C46, C48, C49, C50"
"1","0R","DK: 311-0.0JRCT-ND","RESC1005X40AN","R14"
"2","1K","DK: 311-1.00KLRCT-ND","RESC1005X40AN","R3, R24"
"1","1K5","DK: 311-1.50KLRCT-ND","RESC1005X40AN","R21"
"2","1M","DK: 311-1.00MLRCT-ND","RESC1005X40AN","R7, R11"
"5","1nF","DK: 490-6349-1-ND","CAPC1005X60N","C12, C13, C18, C19, C20"
"9","1uF","DK: 490-10435-1-ND","CAPC1005X60N","C2, C22, C23, C27, C28, C29, C30, C37, C47"
"1","1uF","STOCK: 1UF/10V 20% TDK","CAPC1608X92N","C4"
"1","2N7002","STOCK","SOT95P280X135-3N","Q3"
"2","2RB18Z1BS","ALIEXPRESS","2RB18Z1BS","M1, M2"
"2","3.16K","DK: 1276-4063-1-ND","RESC1005X40AN","R5, R22"
"5","4.7uF","DK: 1276-2087-1-ND","CAPC1608X92N","C1, C10, C14, C15, C45"
"1","6.65K","DK: 1276-4097-1-ND","RESC1005X40AN","R6"
"1","9HT7-32.768KDZF-T","DK: 887-1860-1-ND","9HT7","Y1"
"8","10K","DK: 311-10.0KLRCT-ND","RESC1005X40AN","R1, R2, R15, R19, R23, R25, R26, R27"
"4","10nF","DK: 490-1312-1-ND","CAPC1005X60N","C17, C21, C25, C51"
"2","10uF","DK: 490-10470-1-ND","CAP2012X70N","C8, C26"
"2","22K","DK: 311-22.0KLRCT-ND","RESC1005X40AN","R17, R18"
"1","22R","DK: 311-22.0LRCT-ND","RESC1005X40AN","R20"
"1","23LC512-I/ST","DK: 23LC512-I/ST-ND","TSSOP8","U14"
"1","74LVC08A","DK: 296-1221-1-ND","TSSOP14","U10"
"2","220K","DK: 311-220KLRCT-ND","RESC1005X40AN","R10, R16"
"4","220pF","DK: 1276-1531-1-ND","CAPC1005X60N","C32, C33, C40, C41"
"1","402K","DK: 1276-4254-1-ND","RESC1005X40AN","R12"
"2","562K","DK: 1276-4268-1-ND","RESC1005X40AN","R8, R9"
"1","665K","DK: 1276-4275-1-ND","RESC1005X40AN","R13"
"1","976K","DK: 1276-4289-1-ND","RESC1005X40AN","R4"
"1","1204-SIDE-DUAL-AG","STOCK","LED_1204","D1"
"1","2403-260-00001-GRILL","*","24030269-00001-GRILL","GRILL1"
"1","2403-260-00001TOP","*","2403-269-00001","SPK1"
"1","AAT2120","DK: 863-1527-1-ND","STDFN22-8","U6"
"1","AAT3693","DK: 863-1512-1-ND","TDFN-10","U3"
"1","AK4386ET","DK: 974-1010-1-ND","TSSOP16","U16"
"1","AT24C02","*","TSSOP8","U19"
"2","BM02B-SRSS-TB","*","BM02B-SRSS-TB","J4, J11"
"1","CB-AA-PC-NEG","DK: CB-AA-PC-NEG-ND","CB-AA-PC-NEG","P2"
"1","CB-AA-PC-POS","DK: CB-AA-PC-POS-ND","CB-AA-PC-POS","P1"
"2","CBC3225T4R7MR","DK: 587-1624-1-ND","INDC3225X135N","L1, L2"
"2","CC100%","*","CC-100","U$1, U$3"
"1","CL-SB-23C-11","DK: 563-1360-ND","SW-JS203011AQN","S1"
"4","DF11-8DP-2DSA","DK: H10231-ND","DF11-8DP-2DSA","J2, J3, J5, J10"
"2","DMG1023UV","DK: DMG1023UV-7DICT-ND","SOT563","Q1, Q2"
"5","F600R","DK: 553-2374-1-ND","INDC1005X60N","L3, L4, L5, L6, L7"
"1","FXOS8700CQR1","DK: FXOS8700CQR1CT-ND","QFN16_0P5_3X3","U17"
"1","LMV324IPWR","DK: LMV324TSG-13DICT-ND","TSSOP14","U12"
"1","MCP1640T-I/CHY","DK: MCP1640T-I/CHYCT-ND","SOT26","U4"
"1","MCP1700T-3002E/TT","STOCK: MCP1700T-3002E/TTCT-ND","SOT95P280X135-3N","U1"
"1","MKL16Z256VLH4","DK: MKL16Z256VLH4-ND","LQFP64","U2"
"2","MOUNT-PAD-ROUND3.2","*","3,2-PAD","H1, H2"
"4","NLAS4157","DK: NLAS4157DFT2GOSCT-ND","DCK_R-PDSO-G6","U5, U7, U8, U9"
"1","PAM8404KG","DK: PAM8404KGRDICT-ND","QFN4040-20","U15"
"1","S25FL127SABMFI101","STOCK: DK 1274-1045-ND","S0C008","U13"
"1","SE97BTP","*","SOT1069-2","U18"
"1","TC7SB3157CFU","DK: TC7SB3157CFULFCT-ND","DCK_R-PDSO-G6","U11"
"2","TCT40-16T","*","TCT40-16","T1, T2"
"1","TMP101","*","SOT26","U20"
"2","TPSTP20SQ","*","TP20SQ","TP3, TP4"
"6","TPTP06SQ","*","TP06SQ","TP1, TP2, TP5, TP6, TP7, TP8"
"1","ULTRASONIC-ASM-SENSOR-ONLY","*","ULTRASONIC-SENSOR-ONLY","A2"
"1","ULTRASONIC_TEMP","*","ULTRASONIC_ASM","A1"
